question_id,character_id,profession,difficulty,field_key,question_text,correct_answer,options_json
lucky_person_manor_name_easy,lucky_person,survivor,easy,manor_name,該角色在莊園的名字是？,推演替身,"[""瑪爾塔·貝坦菲爾"",""瓦倫蒂娜·雅加·瓦西裡耶娃"",""推演替身""]"
lucky_person_nickname_easy,lucky_person,survivor,easy,nickname,該角色的小名是？,小幸,"[""小幸"",""\""戲謔\""、\""悲觀\""、\""寡言\"""",""米沙""]"
lucky_person_camp_easy,lucky_person,survivor,easy,camp,該角色的陣營是？,求生者,"[""求生者"",""監管者""]"
lucky_person_birthday_or_anniversary_easy,lucky_person,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,11月22日,"[""1月13日"",""11月22日"",""6月1日""]"
lucky_person_representative_s_tier_costume_easy,lucky_person,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,拉塔托斯克,"[""典獄長"",""死生之諭"",""拉塔托斯克""]"
lucky_person_representative_a_tier_costume_easy,lucky_person,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,"女僕裝、""未知射線""X","[""蝕日者、此刻萬籟俱寂"",""花千樹"",""女僕裝、\""未知射線\""X""]"
lucky_person_cn_release_date_hard,lucky_person,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2018-04-02"",""2021-11-18"",""2025-11-27""]"
lucky_person_cn_voice_actor_hard,lucky_person,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,李元韜,"[""張安琪"",""劉以嘉"",""李元韜""]"
doctor_manor_name_easy,doctor,survivor,easy,manor_name,該角色在莊園的名字是？,艾米麗·黛兒,"[""艾米麗·黛兒"",""伊萊·克拉克"",""班恩""]"
doctor_real_name_easy,doctor,survivor,easy,real_name,該角色的本名是？,莉迪亞·瓊斯,"[""莉迪亞·瓊斯"",""巴爾克·拉·帕杜拉"",""裘克""]"
doctor_former_name_easy,doctor,survivor,easy,former_name,該角色的曾用名是？,莉迪亞·瓊斯,"[""米哈伊爾·托夫洛維奇·瓦西里耶夫"",""梅莉·恩德洛武"",""莉迪亞·瓊斯""]"
doctor_alias_easy,doctor,survivor,easy,alias,玩家可能怎麼稱呼該角色？,愛美麗,"[""愛美麗"",""月亮河之母"",""老奶""]"
doctor_camp_easy,doctor,survivor,easy,camp,該角色的陣營是？,求生者,"[""求生者"",""監管者""]"
doctor_birthday_or_anniversary_easy,doctor,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,3月17日,"[""3月17日"",""8月4日"",""8月11日""]"
doctor_age_easy,doctor,survivor,easy,age,該角色的年齡是？,32,"[""25"",""32"",""35""]"
doctor_gender_easy,doctor,survivor,easy,gender,該角色的性別是？,女,"[""女"",""男""]"
doctor_likes_easy,doctor,survivor,easy,likes,該角色喜歡？,藥草、書,"[""極端美學、天賦卓越的人"",""機油、蝴蝶結"",""藥草、書""]"
doctor_dislikes_easy,doctor,survivor,easy,dislikes,該角色討厭？,郊狼,"[""郊狼"",""老鼠、狐狸"",""耶誕節""]"
