character_id,profession,manor_name,real_name,camp,birthday_or_anniversary,age,gender,cn_release_date,cn_voice_actor,experiment_code
lucky_person,幸運兒,推演替身,未知,求生者,11月22日,未知,未知,2018-04-02,李元韜,未公開
doctor,醫生,艾米麗·黛兒,莉迪亞·瓊斯,求生者,3月17日,32,女,2018-04-02,武向彤,4-0-4
lawyer,律師,弗雷迪·萊利,弗雷迪·萊利,求生者,1月12日,38,男,2018-04-02,李元韜,4-0-3
philanthropist,“慈善家”,克利切·皮爾森,克利切·皮爾森,求生者,5月7日,30,男,2018-04-02,劉北辰,4-0-2
gardener,園丁,艾瑪·伍茲,麗莎·貝克,求生者,12月21日,22,女,2018-04-02,李棟婷,4-1-1
magician,魔術師,瑟維·勒·羅伊,瑟維·勒·羅伊,求生者,7月4日,35,男,2018-04-02,孫曄,9-?-4
adventurer,冒險家,庫特·弗蘭克,庫特·弗蘭克,求生者,3月1日,25,男,2018-04-02,蘇鑫,9-?-1
mercenary,傭兵,奈布·薩貝達,奈布·薩貝達,求生者,7月23日,27,男,2018-04-05,王宇航,9-?-3
airman,空軍,瑪爾塔·貝坦菲爾,未知,求生者,4月3日,20,女,2018-04-05,黃鶯,6-1-4
mechanic,機械師,特蕾西·列茲尼克,特蕾西·列茲尼克,求生者,9月13日,21,女,2018-04-05,金娜,10-0-1
forward,前鋒,威廉·艾利斯,威廉·艾利斯,求生者,5月15日,28,男,2018-04-12,蘇鑫,9-?-2
blind_girl,盲女,海倫娜·亞當斯,海倫娜·亞當斯,求生者,1月13日,19,女,2018-04-29,金娜,0-0-3/0-1-3
priestess,祭司,菲歐娜·吉爾曼,菲歐娜·吉爾曼,求生者,2月1日,30,女,2018-05-31,武向彤,6-1-3
perfumer,調香師,薇拉·奈爾,克洛伊·奈爾,求生者,8月25日,27,女,2018-07-05,黃鶯,5-0-2
cowboy,牛仔,凱文·阿尤索,凱文·阿尤索,求生者,12月27日,35,男,2018-08-09,李元韜,5-?-4
dancer,舞女,瑪格麗莎·澤萊,娜塔莎,求生者,6月9日,23,女,2018-09-13,黃鶯,8-1-4
prophet,先知,伊萊·克拉克,伊萊·克拉克,求生者,10月31日,21,男,2018-10-18,孟祥龍,6-1-1
embalmer,入殮師,伊索·卡爾,伊索·卡爾,求生者,5月11日,21,男,2018-12-06,劉雨軒,3-?-1
prospector,勘探員,諾頓·坎貝爾,諾頓·坎貝爾,求生者,3月19日,28,男,2019-02-28,劉雨軒,
curse_user,咒術師,帕緹夏·多里瓦爾,帕緹夏·多里瓦爾,求生者,1月3日,35,女,2019-03-21,周帥,5-?-5
wildling,野人,穆羅,穆羅,求生者,4月30日,45,男,2019-05-09,劉垚,8-?-5
acrobat,雜技演員,麥克·莫頓,麥克·莫頓,求生者,6月1日,22,男,2019-06-27,翟巍,8-?-2
first_mate,大副,何塞·巴登,何塞·巴登,求生者,9月24日,25,男,2019-07-18,劉以嘉,5-0-3
bartender,調酒師,黛米·波本,黛米·波本,求生者,2月14日,22,女,2019-09-26,張安琪,6-?-3
postman,郵差,維克多·葛蘭茲,維克多·葛蘭茲,求生者,12月25日,23,男,2019-12-08,劉垚,3-?-3
tomb_keeper,守墓人,安德魯·克雷斯,安德魯·克雷斯,求生者,2月13日,24,男,2020-02-27,馬洋,3-0-1
prisoner,囚徒,盧卡·巴爾薩,盧卡斯·巴爾薩克,求生者,7月10日,21,男,2020-03-19,翟巍,10-0-2/11-1-1
